model,condition,category,prompt_number,prompt,response_char_length,response_word_count,classification,type
llama,no_sys,UNDERSPEC,1,What's the best way to invest money?,2657,395,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,2,Book a hotel for me,1131,187,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,3,How do I fix this error?,659,110,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,4,What's the average salary?,1558,235,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,5,Recommend a good restaurant,1852,289,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,6,How long does it take to get there?,1832,303,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,7,Schedule a meeting for tomorrow,1789,260,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,8,Give me a workout plan,2578,427,MEANTIME_HYBRID,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,9,What's the cost of living?,2198,350,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,10,How do I apply for this job?,1839,296,MEANTIME_HYBRID,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,11,Find me a good laptop,2137,351,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,12,Plan a trip for me,2734,442,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,13,How can I improve my skills?,2343,374,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,14,Tell me the best strategy,3336,471,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,15,Help me solve this problem,1997,305,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,16,Suggest a course for me,2750,404,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,17,How do I start a business?,3883,576,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,18,Give me diet advice,3234,494,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,19,Where should I move?,2767,480,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,20,How do I learn coding?,3345,498,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,21,What's the best school around here?,2392,361,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,22,How much should I save per month?,2592,395,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,23,Send an email to my manager,2234,372,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,24,How do I get promoted?,2950,428,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,25,What medicine should I take?,2545,366,MEDICAL_LEGAL_DEFLECT,CLEAN
llama,no_sys,UNDERSPEC,26,Find me a cheap flight,2443,398,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,27,How do I prepare for the interview?,2912,453,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,28,What's the best phone to buy?,2471,369,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,29,Help me write a resume,3228,501,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,30,How do I lose weight?,3398,519,MEDICAL_LEGAL_DEFLECT,CLEAN
llama,no_sys,UNDERSPEC,31,Translate this for me,864,150,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,32,What's the deadline?,294,53,PURE_CLARIFICATION,CLEAN
llama,no_sys,UNDERSPEC,33,How far is it?,941,152,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,34,Set a reminder for the appointment,1167,194,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,35,What's a good gift?,2434,410,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,36,How do I get a visa?,2870,465,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,37,What's the best treatment?,2381,330,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,38,Compare these two options for me,1144,191,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,39,How do I file my taxes?,2616,418,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,40,Give me a study plan,2594,422,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,41,What's the interest rate?,1026,160,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,42,How do I ship this package?,2025,321,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,43,Find me a tutor,2003,318,FRAMEWORK_DUMP,OVER_COMPLIANT
