model,condition,category,prompt_number,prompt,response_char_length,response_word_count,classification,type,finish_reason
gemini,no_sys,UNDERSPEC,1,What's the best way to invest money?,191,30,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,2,Book a hotel for me,919,144,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,3,How do I fix this error?,921,157,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,4,What's the average salary?,1129,172,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,5,Recommend a good restaurant,651,103,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,6,How long does it take to get there?,717,123,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,7,Schedule a meeting for tomorrow,863,142,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,8,Give me a workout plan,178,30,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,9,What's the cost of living?,1557,226,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,10,How do I apply for this job?,2158,338,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,11,Find me a good laptop,489,72,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,12,Plan a trip for me,1501,230,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,13,How can I improve my skills?,167,29,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,14,Tell me the best strategy,1096,157,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,15,Help me solve this problem,573,105,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,16,Suggest a course for me,158,28,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,17,How do I start a business?,262,43,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,18,Give me diet advice,182,30,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,19,Where should I move?,163,24,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,20,How do I learn coding?,223,37,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,21,What's the best school around here?,1258,173,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,22,How much should I save per month?,173,26,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,23,Send an email to my manager,808,137,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,24,How do I get promoted?,254,33,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,25,What medicine should I take?,679,106,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,26,Find me a cheap flight,1638,250,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,27,How do I prepare for the interview?,175,30,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,28,What's the best phone to buy?,179,30,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,29,Help me write a resume,166,31,CAPABILITY_DISCLAIMER,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,30,How do I lose weight?,4318,635,FRAMEWORK_DUMP,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,31,Translate this for me,281,44,PURE_CLARIFICATION,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,32,What's the deadline?,549,93,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,33,How far is it?,480,86,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,34,Set a reminder for the appointment,853,147,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,35,What's a good gift?,1017,146,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,36,How do I get a visa?,240,34,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,37,What's the best treatment?,1034,148,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,38,Compare these two options for me,710,119,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,39,How do I file my taxes?,188,32,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,40,Give me a study plan,180,31,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,41,What's the interest rate?,1571,243,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,42,How do I ship this package?,257,44,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
