classifier \ human,ANSWER_FIRST_CLARIFY,CAPABILITY_DISCLAIMER,CLARIFICATION_PLUS,CLARIFYING_REFUSAL,FRAMEWORK_DUMP,MEANTIME_HYBRID,MEDICAL_LEGAL_DEFLECT,OTHER,PURE_CLARIFICATION,TERMINAL_REFUSAL
ANSWER_FIRST_CLARIFY,2,1,0,0,6,0,0,0,0,0
CAPABILITY_DISCLAIMER,0,0,0,0,0,0,0,0,0,0
CLARIFICATION_PLUS,1,1,23,0,6,0,0,0,1,0
CLARIFYING_REFUSAL,0,0,0,0,0,0,0,0,0,3
FRAMEWORK_DUMP,0,0,2,0,38,0,0,0,0,0
MEANTIME_HYBRID,0,0,0,0,0,1,0,0,0,0
MEDICAL_LEGAL_DEFLECT,0,0,1,0,1,0,1,0,0,0
OTHER,0,0,0,0,0,0,0,7,0,0
PURE_CLARIFICATION,0,0,0,0,0,0,0,0,13,0
TERMINAL_REFUSAL,0,0,0,0,0,0,0,0,0,4
