model,condition,category,prompt_number,prompt,response_char_length,response_word_count,classification,type
chatgpt,no_sys,UNDERSPEC,1,What's the best way to invest money?,2384,348,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,2,Book a hotel for me,487,80,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,3,How do I fix this error?,360,59,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,4,What's the average salary?,391,62,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,5,Recommend a good restaurant,318,53,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,6,How long does it take to get there?,250,43,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,7,Schedule a meeting for tomorrow,356,64,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,8,Give me a workout plan,453,76,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,9,What's the cost of living?,532,83,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,10,How do I apply for this job?,400,64,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,11,Find me a good laptop,491,79,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,12,Plan a trip for me,556,82,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,13,How can I improve my skills?,1354,198,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,14,Tell me the best strategy,444,70,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,15,Help me solve this problem,235,41,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,16,Suggest a course for me,509,82,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,17,How do I start a business?,1632,241,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,18,Give me diet advice,1312,202,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,19,Where should I move?,560,91,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,20,How do I learn coding?,1671,241,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,21,What's the best school around here?,449,72,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,22,How much should I save per month?,1125,177,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,23,Send an email to my manager,368,63,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,24,How do I get promoted?,1654,232,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,25,What medicine should I take?,374,61,MEDICAL_LEGAL_DEFLECT,CLEAN
chatgpt,no_sys,UNDERSPEC,26,Find me a cheap flight,386,64,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,27,How do I prepare for the interview?,1447,216,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,28,What's the best phone to buy?,1662,247,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,29,Help me write a resume,666,103,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,30,How do I lose weight?,1557,237,MEDICAL_LEGAL_DEFLECT,CLEAN
chatgpt,no_sys,UNDERSPEC,31,Translate this for me,144,26,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,32,What's the deadline?,195,32,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,33,How far is it?,254,43,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,34,Set a reminder for the appointment,384,73,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,35,What's a good gift?,845,137,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,36,How do I get a visa?,1514,215,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,37,What's the best treatment?,416,64,MEDICAL_LEGAL_DEFLECT,CLEAN
chatgpt,no_sys,UNDERSPEC,38,Compare these two options for me,247,43,PURE_CLARIFICATION,CLEAN
chatgpt,no_sys,UNDERSPEC,39,How do I file my taxes?,1443,221,FRAMEWORK_DUMP,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,40,Give me a study plan,452,86,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,41,What's the interest rate?,383,63,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,42,How do I ship this package?,444,68,CLARIFICATION_PLUS,OVER_COMPLIANT
chatgpt,no_sys,UNDERSPEC,43,Find me a tutor,441,75,CLARIFICATION_PLUS,OVER_COMPLIANT
