model,condition,category,n,OCR_pct,TRR_pct,Clean_pct
chatgpt,no_sys,AMBIGUOUS,100,4.0,0.0,96.0
chatgpt,no_sys,CONTRADICTION,100,100.0,0.0,0.0
chatgpt,no_sys,NONSENSE,100,98.0,0.0,2.0
chatgpt,no_sys,UNDERSPEC,100,69.0,0.0,31.0
chatgpt,with_sys,AMBIGUOUS,100,3.0,0.0,97.0
chatgpt,with_sys,CONTRADICTION,100,100.0,0.0,0.0
chatgpt,with_sys,NONSENSE,100,98.0,0.0,2.0
chatgpt,with_sys,UNDERSPEC,100,31.0,0.0,69.0
claude,no_sys,AMBIGUOUS,100,10.0,87.0,3.0
claude,no_sys,CONTRADICTION,100,99.0,0.0,1.0
claude,no_sys,NONSENSE,100,100.0,0.0,0.0
claude,no_sys,UNDERSPEC,100,91.0,0.0,9.0
claude,with_sys,AMBIGUOUS,100,11.0,11.0,78.0
claude,with_sys,CONTRADICTION,100,100.0,0.0,0.0
claude,with_sys,NONSENSE,100,100.0,0.0,0.0
claude,with_sys,UNDERSPEC,100,93.0,0.0,7.0
gemini,no_sys,AMBIGUOUS,100,84.0,0.0,16.0
gemini,no_sys,CONTRADICTION,100,100.0,0.0,0.0
gemini,no_sys,NONSENSE,100,100.0,0.0,0.0
gemini,no_sys,UNDERSPEC,100,84.0,0.0,16.0
gemini,with_sys,AMBIGUOUS,100,94.0,0.0,6.0
gemini,with_sys,CONTRADICTION,100,100.0,0.0,0.0
gemini,with_sys,NONSENSE,100,100.0,0.0,0.0
gemini,with_sys,UNDERSPEC,100,88.0,0.0,12.0
llama,no_sys,AMBIGUOUS,100,99.0,0.0,1.0
llama,no_sys,CONTRADICTION,100,100.0,0.0,0.0
llama,no_sys,NONSENSE,100,100.0,0.0,0.0
llama,no_sys,UNDERSPEC,100,96.0,0.0,4.0
llama,with_sys,AMBIGUOUS,100,98.0,0.0,2.0
llama,with_sys,CONTRADICTION,100,100.0,0.0,0.0
llama,with_sys,NONSENSE,100,100.0,0.0,0.0
llama,with_sys,UNDERSPEC,100,97.0,0.0,3.0
